lecturer_id,department,employment_type,years_experience,major_speciality,related_specialities,number_of_classes,trimester,week_number,teaching_hours_per_week,modules_count,total_students_enrolled,assessment_type_weight,thesis_students_count,hod_administrative_hours,active_research_projects,weekend_work_hours,grading_backlog_days,lms_activity_late_night_count,self_reported_fatigue,perceived_support_score,total_actual_weekly_hours,calculated_burnout_score,burnout_risk_category
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,7,12.0,2,93,1.5,6,0.0,0,2.2,3,4,6,2,27.4,57.1,HIGH
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,8,12.1,2,93,1.5,1,4.0,2,3.6,2,3,3,4,35.1,51.4,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,9,11.4,2,93,1.0,3,8.0,2,3.7,1,0,2,3,36.5,48.4,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,10,11.4,2,93,1.5,4,0.0,2,4.0,6,4,6,3,32.8,59.6,HIGH
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,11,11.6,2,93,1.0,1,2.0,0,8.7,3,4,8,4,34.8,60.6,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,1,17.6,4,144,1.0,6,2.0,1,0.8,2,2,4,4,39.8,47.0,MODERATE
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,2,18.0,4,144,1.0,4,0.0,1,0.3,3,4,4,5,38.6,49.3,MODERATE
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,3,17.0,4,144,1.0,4,0.0,1,2.4,2,4,2,3,37.5,51.0,MODERATE
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,4,17.1,4,144,1.0,6,4.0,0,0.8,1,0,4,4,39.0,51.6,MODERATE
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,5,18.0,4,144,1.5,6,0.0,0,5.3,7,7,7,2,42.2,83.7,CRITICAL
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,6,16.7,4,144,2.0,6,0.0,0,7.2,6,5,10,4,45.8,84.9,CRITICAL
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,7,17.6,4,144,2.0,5,0.0,1,3.7,2,1,3,5,43.5,48.5,MODERATE
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,8,17.2,4,144,2.0,3,4.0,2,3.8,2,2,6,3,47.7,71.7,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,9,18.0,4,144,1.0,6,0.0,0,1.7,0,0,6,4,38.4,55.4,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,10,17.5,4,144,1.0,7,2.0,0,8.4,10,6,10,1,46.5,95.6,CRITICAL
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T1,11,18.3,4,144,1.0,3,0.0,1,5.8,7,10,7,1,41.6,92.3,CRITICAL
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,1,17.6,4,144,1.5,2,0.0,1,2.1,2,4,3,1,39.8,67.7,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,2,17.3,4,144,2.0,8,2.0,2,3.5,1,2,4,1,49.3,74.5,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,3,17.3,4,144,2.0,2,0.0,2,0.4,1,0,3,1,41.5,57.2,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,4,16.7,4,144,2.5,5,12.0,0,1.0,0,4,5,4,52.6,70.8,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,5,18.1,4,144,1.0,7,0.0,1,5.3,4,4,6,2,43.3,74.6,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,6,18.1,4,144,1.5,5,0.0,2,7.2,10,8,6,2,49.7,92.6,CRITICAL
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,7,17.5,4,144,1.0,3,2.0,0,1.5,3,3,4,1,38.3,64.9,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,8,17.6,4,144,2.0,11,4.0,2,3.5,3,2,2,3,53.2,66.4,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,9,18.3,4,144,1.0,5,0.0,1,2.0,1,4,3,3,40.3,60.6,HIGH
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,10,18.4,4,144,1.5,2,2.0,0,8.7,7,8,9,2,46.9,93.1,CRITICAL
UTB-LEC-003,BSc Information Technology,FULL_TIME,11,Cloud Computing & DevOps,"Financial Modeling, Project Management (PMP)",4,2026-T2,11,16.6,4,144,2.0,3,4.0,0,4.8,6,6,10,2,45.4,88.2,CRITICAL
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,1,9.6,2,84,1.5,1,0.0,0,1.2,0,4,3,3,21.5,39.5,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,2,8.7,2,84,2.0,0,0.0,0,1.1,1,2,4,2,18.9,43.9,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,3,9.6,2,84,1.5,0,0.0,0,0.7,3,3,2,3,20.4,38.3,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,4,9.1,2,84,1.0,2,0.0,0,3.9,0,3,5,4,22.4,37.8,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,5,8.3,2,84,1.0,1,0.0,0,6.0,8,9,7,5,22.1,56.9,HIGH
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,6,8.8,2,84,2.0,0,0.0,0,9.7,11,4,6,1,28.9,67.5,HIGH
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,7,9.1,2,84,2.0,2,0.0,2,1.3,1,1,3,2,24.9,41.7,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,8,9.0,2,84,2.0,0,0.0,1,0.2,1,1,5,3,21.9,43.3,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,9,9.1,2,84,2.0,2,0.0,0,3.7,0,1,3,3,24.5,39.8,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,10,9.5,2,84,1.5,1,0.0,1,7.2,5,10,7,4,27.6,64.4,HIGH
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T1,11,9.5,2,84,2.0,1,0.0,1,7.3,5,7,7,3,28.9,66.5,HIGH
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,1,9.2,2,84,1.0,3,0.0,0,3.4,2,0,2,4,22.2,33.3,LOW
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,2,9.0,2,84,1.5,3,0.0,0,0.1,0,3,3,3,18.9,33.1,LOW
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,3,8.7,2,84,1.5,1,0.0,0,0.5,0,0,5,2,19.0,39.3,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,4,8.9,2,84,1.5,1,0.0,1,1.8,3,4,2,1,21.0,47.9,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,5,9.4,2,84,1.0,0,0.0,0,5.4,9,10,7,2,25.0,71.8,HIGH
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,6,8.2,2,84,1.5,0,0.0,0,9.7,10,6,6,1,24.9,70.8,HIGH
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,7,9.0,2,84,2.0,1,0.0,2,1.8,3,3,5,1,26.4,56.9,HIGH
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,8,8.0,2,84,1.0,0,0.0,1,3.7,1,4,6,4,21.1,45.6,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,9,9.6,2,84,1.5,1,0.0,0,2.0,2,2,5,4,20.7,40.8,MODERATE
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,10,9.2,2,84,2.5,1,0.0,1,8.0,3,10,10,2,31.5,81.5,CRITICAL
UTB-LEC-004,BSc Computer Engineering,PART_TIME,4,Distributed Systems & Parallel Computing,"GIS & Spatial Mapping, Data Analysis with Python",2,2026-T2,11,8.4,2,84,2.0,2,0.0,1,4.2,10,4,6,5,26.5,57.4,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,1,18.9,3,175,2.0,3,8.0,0,3.1,0,4,6,2,54.1,81.3,CRITICAL
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,2,19.1,3,175,2.0,4,0.0,0,1.3,3,0,2,4,44.4,50.4,MODERATE
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,3,18.6,3,175,2.0,5,0.0,0,1.5,1,0,3,4,45.6,54.1,MODERATE
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,4,19.9,3,175,2.0,0,2.0,2,0.1,2,2,4,1,47.2,73.6,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,5,18.6,3,175,1.5,3,0.0,0,5.0,5,5,9,4,43.5,80.6,CRITICAL
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,6,20.2,3,175,2.0,3,8.0,0,9.2,9,10,10,1,61.9,98.0,CRITICAL
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,7,18.5,3,175,1.0,6,0.0,0,3.5,1,4,2,3,41.8,57.9,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,8,19.9,3,175,2.0,4,0.0,1,1.7,1,0,6,4,48.5,61.0,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,9,18.8,3,175,2.0,5,0.0,2,4.0,0,0,4,4,51.5,63.3,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,10,18.8,3,175,1.0,4,4.0,1,9.4,10,8,8,4,52.9,88.9,CRITICAL
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T1,11,20.0,3,175,2.0,1,0.0,0,5.9,8,7,8,3,48.7,91.8,CRITICAL
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,1,18.4,3,175,1.5,4,0.0,2,0.7,3,4,2,3,42.9,58.2,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,2,20.2,3,175,2.5,3,2.0,1,3.4,3,0,6,4,53.3,67.5,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,3,19.0,3,175,1.0,6,0.0,0,2.2,2,0,4,4,40.4,54.0,MODERATE
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,4,20.0,3,175,2.0,2,0.0,0,3.2,1,2,5,4,47.4,63.0,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,5,19.4,3,175,1.5,4,0.0,0,7.6,3,7,6,5,48.6,73.4,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,6,20.2,3,175,1.5,0,2.0,0,5.7,6,5,10,3,46.5,87.4,CRITICAL
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,7,18.7,3,175,1.5,2,2.0,0,2.5,1,4,2,4,44.7,58.2,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,8,18.7,3,175,1.5,4,0.0,0,0.7,3,3,5,4,39.2,58.4,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,9,19.0,3,175,2.5,1,2.0,0,0.5,2,1,6,5,45.6,59.7,HIGH
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,10,19.3,3,175,1.5,3,4.0,1,4.6,6,11,7,5,52.4,86.4,CRITICAL
UTB-LEC-005,BSc Transport & Logistics Mgmt,FULL_TIME,2,Supply Chain Risk & Resilience,"Project Management (PMP), Research Methodology",5,2026-T2,11,20.0,3,175,2.5,2,8.0,0,5.9,3,11,6,5,60.0,91.2,CRITICAL
UTB-LEC-006,BA Hotel & Restaurant Management,PART_TIME,6,Food & Beverage Cost Control,"Financial Modeling, Data Analysis with Python",2,2026-T1,1,7.2,2,74,2.0,1,0.0,0,0.6,2,4,5,1,17.9,52.2,MODERATE
